         28790 function calls (27925 primitive calls) in 11.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:529(allocate_tensors)
       60    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.001    0.001 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.AllocateTensors}
      335    0.001    0.000    0.001    0.000 /usr/lib/python3.11/queue.py:209(_qsize)
       20    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      296    0.000    0.000    0.001    0.000 /usr/lib/python3.11/threading.py:279(_is_owned)
       64    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      201    0.001    0.000    0.001    0.000 /usr/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
      136    0.001    0.000    0.001    0.000 /usr/lib/python3.11/threading.py:276(_acquire_restore)
      180    0.001    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:385(dtype)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:1952(__instancecheck__)
       60    0.001    0.000    0.001    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.InputIndices}
       60    0.000    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3269(round)
       20    0.000    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:61(_all)
      180    0.001    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:6097(is_auto_dtype_conversion_enabled)
      240    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1103(_sanity_check)
       20    0.001    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
       20    0.001    0.000    0.001    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:413(_can_dot)
     1371    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      161    0.000    0.000    0.001    0.000 /usr/lib/python3.11/threading.py:264(__enter__)
        1    0.000    0.000    0.001    0.001 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:230(add_model_flags)
       80    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
       20    0.000    0.000    0.001    0.000 /home/alvaro/TFG/V5_Audio/audio_recorder.py:125(is_active)
      161    0.000    0.000    0.001    0.000 /usr/lib/python3.11/threading.py:267(__exit__)
       68    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       20    0.000    0.000    0.000    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:379(_numpy)
       80    0.000    0.000    0.000    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numerictypes.py:283(issubclass_)
      163    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.11/logging/__init__.py:2150(debug)
       80    0.000    0.000    0.000    0.000 /usr/lib/python3.11/logging/__init__.py:1467(debug)
      160    0.000    0.000    0.000    0.000 /usr/lib/python3.11/queue.py:217(_get)
       20    0.000    0.000    0.000    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:2234(dtype_r2c)
       20    0.000    0.000    0.000    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
      240    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:938(start)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.11/argparse.py:2592(_get_formatter)
       20    0.000    0.000    0.000    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:466(expand_to)
      405    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:194(is_compatible_with)
       20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:503(is_active)
      432    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       68    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       80    0.000    0.000    0.000    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:264(__eq__)
      100    0.000    0.000    0.000    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorQuantizationParameters}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.11/argparse.py:173(__init__)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1873(_get_protocol_attrs)
      120    0.000    0.000    0.000    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:1380(<listcomp>)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      100    0.000    0.000    0.000    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorName}
      391    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    0.000    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/shape_util.py:42(maybe_set_static_shape)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1890(_is_callable_members_only)
      100    0.000    0.000    0.000    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorSize}
